Depth,Temp,Sal,,,,,,,,,,Depth,Temp,Sal,,,,Depth,Temperature,Sal
2,28.21,36.32,,,,,,,,,,2,28.21,36.84,,,,2,25.21,36.32
3,28.2,36.32,,,,,,,,,,3,28.2,36.84,,,,3,25.2,36.32
4,28.18,36.32,,,,,,,,,,4,28.18,36.84,,,,4,25.18,36.32
5,27.84,36.35,,,,,,,,,,5,27.84,36.87,,,,5,24.84,36.35
6,28.08,36.31,,,,,,,,,,6,28.08,36.83,,,,6,25.08,36.31
7,28,36.32,,,,,,,,,,7,28,36.84,,,,7,25,36.32
8,27.91,36.32,,,,,,,,,,8,27.91,36.84,,,,8,24.91,36.32
9,27.84,36.31,,,,,,,,,,9,27.84,36.83,,,,9,24.84,36.31
10,27.83,36.31,,,,,,,,,,10,27.83,36.83,,,,10,24.83,36.31
11,27.83,36.31,,,,,,,,,,11,27.83,36.83,,,,11,24.83,36.31
12,28.22,36.33,,,,,,,,,,12,28.22,36.85,,,,12,25.22,36.33
13,27.8,36.31,,,,,,,,,,13,27.8,36.83,,,,13,24.8,36.31
14,27.75,36.3,,,,,,,,,,14,27.75,36.82,,,,14,24.75,36.3
15,27.68,36.3,,,,,,,,,,15,27.68,36.82,,,,15,24.68,36.3
16,27.57,36.31,,,,,,,,,,16,27.57,36.83,,,,16,24.57,36.31
17,27.83,36.35,,,,,,,,,,17,27.83,36.87,,,,17,24.83,36.35
18,27.35,36.27,,,,,,,,,,18,27.35,36.79,,,,18,24.35,36.27
19,27.26,36.26,,,,,,,,,,19,27.26,36.78,,,,19,24.26,36.26
20,27.15,36.25,,,,,,,,,,20,27.15,36.77,,,,20,24.15,36.25
21,27.11,36.25,,,,,,,,,,21,27.11,36.77,,,,21,24.11,36.25
22,27.09,36.25,,,,,,,,,,22,27.09,36.77,,,,22,24.09,36.25
23,27.04,36.25,,,,,,,,,,23,27.04,36.77,,,,23,24.04,36.25
24,27.02,36.25,,,,,,,,,,24,27.02,36.77,,,,24,24.02,36.25
25,26.89,36.23,,,,,,,,,,25,26.89,36.75,,,,25,23.89,36.23
26,26.8,36.21,,,,,,,,,,26,26.8,36.73,,,,26,23.8,36.21
27,26.78,36.21,,,,,,,,,,27,26.78,36.73,,,,27,23.78,36.21
28,26.77,36.21,,,,,,,,,,28,26.77,36.73,,,,28,23.77,36.21
29,26.73,36.21,,,,,,,,,,29,26.73,36.73,,,,29,23.73,36.21
30,26.85,36.24,,,,,,,,,,30,26.85,36.76,,,,30,23.85,36.24
31,26.65,36.23,,,,,,,,,,31,26.65,36.75,,,,31,23.65,36.23
32,26.4,36.18,,,,,,,,,,32,26.4,36.7,,,,32,23.4,36.18
33,26.24,36.15,,,,,,,,,,33,26.24,36.67,,,,33,23.24,36.15
34,26.17,36.15,,,,,,,,,,34,26.17,36.67,,,,34,23.17,36.15
35,26.03,36.14,,,,,,,,,,35,26.03,36.66,,,,35,23.03,36.14
36,25.61,36.22,,,,,,,,,,36,25.61,36.74,,,,36,22.61,36.22
37,25.47,36.22,,,,,,,,,,37,25.47,36.74,,,,37,22.47,36.22
38,25.77,36.13,,,,,,,,,,38,25.77,36.65,,,,38,22.77,36.13
39,25.66,36.13,,,,,,,,,,39,25.66,36.65,,,,39,22.66,36.13
40,25.52,36.13,,,,,,,,,,40,25.52,36.65,,,,40,22.52,36.13
41,25.47,36.15,,,,,,,,,,41,25.47,36.67,,,,41,22.47,36.15
42,25.45,36.15,,,,,,,,,,42,25.45,36.67,,,,42,22.45,36.15
43,24.66,36.25,,,,,,,,,,43,24.66,36.77,,,,43,21.66,36.25
44,24.88,36.15,,,,,,,,,,44,24.88,36.67,,,,44,21.88,36.15
45,24.53,36.1,,,,,,,,,,45,24.53,36.62,,,,45,21.53,36.1
46,24.33,36.1,,,,,,,,,,46,24.33,36.62,,,,46,21.33,36.1
47,24.15,36.09,,,,,,,,,,47,24.15,36.61,,,,47,21.15,36.09
48,24.05,36.08,,,,,,,,,,48,24.05,36.6,,,,48,21.05,36.08
49,24.03,36.26,,,,,,,,,,49,24.03,36.78,,,,49,21.03,36.26
50,23.72,36.1,,,,,,,,,,50,23.72,36.62,,,,50,20.72,36.1
52,23.55,36.11,,,,,,,,,,52,23.55,36.63,,,,52,20.55,36.11
54,23.44,36.13,,,,,,,,,,54,23.44,36.65,,,,54,20.44,36.13
56,23,36.19,,,,,,,,,,56,23,36.71,,,,56,20,36.19
58,22.91,36.13,,,,,,,,,,58,22.91,36.65,,,,58,19.91,36.13
60,21.77,36.57,,,,,,,,,,60,21.77,37.09,,,,60,18.77,36.57
62,22.65,36.42,,,,,,,,,,62,22.65,36.94,,,,62,19.65,36.42
64,22.16,36.35,,,,,,,,,,64,22.16,36.87,,,,64,19.16,36.35
66,20.81,36.4,,,,,,,,,,66,20.81,36.92,,,,66,17.81,36.4
68,20.43,36.36,,,,,,,,,,68,20.43,36.88,,,,68,17.43,36.36
70,20.32,36.36,,,,,,,,,,70,20.32,36.88,,,,70,17.32,36.36
72,21.65,36.48,,,,,,,,,,72,21.65,37,,,,72,18.65,36.48
74,21.7,36.67,,,,,,,,,,74,21.7,37.19,,,,74,18.7,36.67
76,21.93,36.87,,,,,,,,,,76,21.93,37.39,,,,76,18.93,36.87
77,21.7,36.83,,,,,,,,,,77,21.7,37.35,,,,77,18.7,36.83
78,20.16,36.46,,,,,,,,,,78,20.16,36.98,,,,78,17.16,36.46
80,20.51,36.56,,,,,,,,,,80,20.51,37.08,,,,80,17.51,36.56
82,19.78,36.44,,,,,,,,,,82,19.78,36.96,,,,82,16.78,36.44
83,19.58,36.41,,,,,,,,,,83,19.58,36.93,,,,83,16.58,36.41
84,21.15,36.92,,,,,,,,,,84,21.15,37.44,,,,84,18.15,36.92
85,21.34,37.03,,,,,,,,,,85,21.34,37.55,,,,85,18.34,37.03
86,20.01,36.51,,,,,,,,,,86,20.01,37.03,,,,86,17.01,36.51
87,19.97,36.54,,,,,,,,,,87,19.97,37.06,,,,87,16.97,36.54
88,21.36,37.06,,,,,,,,,,88,21.36,37.58,,,,88,18.36,37.06
89,19.95,36.58,,,,,,,,,,89,19.95,37.1,,,,89,16.95,36.58
91,21.2,37.03,,,,,,,,,,91,21.2,37.55,,,,91,18.2,37.03
92,18.87,36.36,,,,,,,,,,92,18.87,36.88,,,,92,15.87,36.36
93,21,37,,,,,,,,,,93,21,37.52,,,,93,18,37
94,20.34,36.85,,,,,,,,,,94,20.34,37.37,,,,94,17.34,36.85
95,18.83,36.38,,,,,,,,,,95,18.83,36.9,,,,95,15.83,36.38
96,20.79,36.96,,,,,,,,,,96,20.79,37.48,,,,96,17.79,36.96
97,20.71,36.94,,,,,,,,,,97,20.71,37.46,,,,97,17.71,36.94
98,19.69,36.72,,,,,,,,,,98,19.69,37.24,,,,98,16.69,36.72
99,20.64,36.92,,,,,,,,,,99,20.64,37.44,,,,99,17.64,36.92
100,19.63,36.71,,,,,,,,,,100,19.63,37.23,,,,100,16.63,36.71
101,19.58,36.71,,,,,,,,,,101,19.58,37.23,,,,101,16.58,36.71
102,20.54,36.9,,,,,,,,,,102,20.54,37.42,,,,102,17.54,36.9
103,19.54,36.7,,,,,,,,,,103,19.54,37.22,,,,103,16.54,36.7
105,19.42,36.69,,,,,,,,,,105,19.42,37.21,,,,105,16.42,36.69
107,18.49,36.46,,,,,,,,,,107,18.49,36.98,,,,107,15.49,36.46
109,19.9,36.78,,,,,,,,,,109,19.9,37.3,,,,109,16.9,36.78
111,18.44,36.49,,,,,,,,,,111,18.44,37.01,,,,111,15.44,36.49
113,18.42,36.48,,,,,,,,,,113,18.42,37,,,,113,15.42,36.48
115,18.89,36.59,,,,,,,,,,115,18.89,37.11,,,,115,15.89,36.59
117,18.95,36.59,,,,,,,,,,117,18.95,37.11,,,,117,15.95,36.59
119,18.54,36.54,,,,,,,,,,119,18.54,37.06,,,,119,15.54,36.54
121,18.37,36.49,,,,,,,,,,121,18.37,37.01,,,,121,15.37,36.49
123,18.21,36.46,,,,,,,,,,123,18.21,36.98,,,,123,15.21,36.46
125,18.5,36.5,,,,,,,,,,125,18.5,37.02,,,,125,15.5,36.5
127,18.24,36.45,,,,,,,,,,127,18.24,36.97,,,,127,15.24,36.45
129,17.79,36.39,,,,,,,,,,129,17.79,36.91,,,,129,14.79,36.39
131,17.98,36.4,,,,,,,,,,131,17.98,36.92,,,,131,14.98,36.4
133,17.61,36.36,,,,,,,,,,133,17.61,36.88,,,,133,14.61,36.36
135,17.47,36.38,,,,,,,,,,135,17.47,36.9,,,,135,14.47,36.38
137,17.28,36.25,,,,,,,,,,137,17.28,36.77,,,,137,14.28,36.25
139,17.21,36.32,,,,,,,,,,139,17.21,36.84,,,,139,14.21,36.32
141,16.75,36.14,,,,,,,,,,141,16.75,36.66,,,,141,13.75,36.14
143,17.15,36.31,,,,,,,,,,143,17.15,36.83,,,,143,14.15,36.31
145,16.37,36.08,,,,,,,,,,145,16.37,36.6,,,,145,13.37,36.08
147,16.99,36.28,,,,,,,,,,147,16.99,36.8,,,,147,13.99,36.28
149,16.11,36.02,,,,,,,,,,149,16.11,36.54,,,,149,13.11,36.02
151,16.87,36.24,,,,,,,,,,151,16.87,36.76,,,,151,13.87,36.24
153,15.92,35.99,,,,,,,,,,153,15.92,36.51,,,,153,12.92,35.99
155,15.83,35.97,,,,,,,,,,155,15.83,36.49,,,,155,12.83,35.97
157,15.77,35.96,,,,,,,,,,157,15.77,36.48,,,,157,12.77,35.96
159,15.65,35.94,,,,,,,,,,159,15.65,36.46,,,,159,12.65,35.94
161,16.13,36.09,,,,,,,,,,161,16.13,36.61,,,,161,13.13,36.09
163,15.44,35.91,,,,,,,,,,163,15.44,36.43,,,,163,12.44,35.91
165,15.28,35.88,,,,,,,,,,165,15.28,36.4,,,,165,12.28,35.88
167,15.66,36,,,,,,,,,,167,15.66,36.52,,,,167,12.66,36
169,15.15,35.86,,,,,,,,,,169,15.15,36.38,,,,169,12.15,35.86
171,15.07,35.84,,,,,,,,,,171,15.07,36.36,,,,171,12.07,35.84
173,15.42,35.96,,,,,,,,,,173,15.42,36.48,,,,173,12.42,35.96
175,15.37,35.95,,,,,,,,,,175,15.37,36.47,,,,175,12.37,35.95
177,15.34,35.94,,,,,,,,,,177,15.34,36.46,,,,177,12.34,35.94
179,14.89,35.81,,,,,,,,,,179,14.89,36.33,,,,179,11.89,35.81
181,14.86,35.8,,,,,,,,,,181,14.86,36.32,,,,181,11.86,35.8
183,14.83,35.81,,,,,,,,,,183,14.83,36.33,,,,183,11.83,35.81
185,14.76,35.8,,,,,,,,,,185,14.76,36.32,,,,185,11.76,35.8
187,14.71,35.78,,,,,,,,,,187,14.71,36.3,,,,187,11.71,35.78
189,14.57,35.76,,,,,,,,,,189,14.57,36.28,,,,189,11.57,35.76
191,14.45,35.74,,,,,,,,,,191,14.45,36.26,,,,191,11.45,35.74
193,14.36,35.71,,,,,,,,,,193,14.36,36.23,,,,193,11.36,35.71
195,14.89,35.88,,,,,,,,,,195,14.89,36.4,,,,195,11.89,35.88
197,14.25,35.7,,,,,,,,,,197,14.25,36.22,,,,197,11.25,35.7
199,14.72,35.84,,,,,,,,,,199,14.72,36.36,,,,199,11.72,35.84
201,14.15,35.69,,,,,,,,,,201,14.15,36.21,,,,201,11.15,35.69
203,14.59,35.82,,,,,,,,,,203,14.59,36.34,,,,203,11.59,35.82
205,14.01,35.67,,,,,,,,,,205,14.01,36.19,,,,205,11.01,35.67
207,13.99,35.66,,,,,,,,,,207,13.99,36.18,,,,207,10.99,35.66
209,14.45,35.8,,,,,,,,,,209,14.45,36.32,,,,209,11.45,35.8
211,14.44,35.75,,,,,,,,,,211,14.44,36.27,,,,211,11.44,35.75
213,14.05,35.7,,,,,,,,,,213,14.05,36.22,,,,213,11.05,35.7
215,14.22,35.75,,,,,,,,,,215,14.22,36.27,,,,215,11.22,35.75
217,14.3,35.78,,,,,,,,,,217,14.3,36.3,,,,217,11.3,35.78
219,14.29,35.78,,,,,,,,,,219,14.29,36.3,,,,219,11.29,35.78
220,14.27,35.78,,,,,,,,,,220,14.27,36.3,,,,220,11.27,35.78
221,14.29,35.73,,,,,,,,,,221,14.29,36.25,,,,221,11.29,35.73
223,14.28,35.79,,,,,,,,,,223,14.28,36.31,,,,223,11.28,35.79
224,13.78,35.64,,,,,,,,,,224,13.78,36.16,,,,224,10.78,35.64
225,14.25,35.79,,,,,,,,,,225,14.25,36.31,,,,225,11.25,35.79
227,14.24,35.79,,,,,,,,,,227,14.24,36.31,,,,227,11.24,35.79
228,14.1,35.71,,,,,,,,,,228,14.1,36.23,,,,228,11.1,35.71
229,14.23,35.79,,,,,,,,,,229,14.23,36.31,,,,229,11.23,35.79
231,14.21,35.78,,,,,,,,,,231,14.21,36.3,,,,231,11.21,35.78
232,13.65,35.63,,,,,,,,,,232,13.65,36.15,,,,232,10.65,35.63
233,14.17,35.78,,,,,,,,,,233,14.17,36.3,,,,233,11.17,35.78
234,13.77,35.69,,,,,,,,,,234,13.77,36.21,,,,234,10.77,35.69
235,14.12,35.77,,,,,,,,,,235,14.12,36.29,,,,235,11.12,35.77
237,14.12,35.77,,,,,,,,,,237,14.12,36.29,,,,237,11.12,35.77
238,14.09,35.76,,,,,,,,,,238,14.09,36.28,,,,238,11.09,35.76
239,13.77,35.65,,,,,,,,,,239,13.77,36.17,,,,239,10.77,35.65
240,13.73,35.68,,,,,,,,,,240,13.73,36.2,,,,240,10.73,35.68
242,13.98,35.75,,,,,,,,,,242,13.98,36.27,,,,242,10.98,35.75
243,13.66,35.67,,,,,,,,,,243,13.66,36.19,,,,243,10.66,35.67
244,13.6,35.65,,,,,,,,,,244,13.6,36.17,,,,244,10.6,35.65
245,13.61,35.63,,,,,,,,,,245,13.61,36.15,,,,245,10.61,35.63
246,13.88,35.74,,,,,,,,,,246,13.88,36.26,,,,246,10.88,35.74
247,13.59,35.63,,,,,,,,,,247,13.59,36.15,,,,247,10.59,35.63
248,13.83,35.73,,,,,,,,,,248,13.83,36.25,,,,248,10.83,35.73
249,13.72,35.69,,,,,,,,,,249,13.72,36.21,,,,249,10.72,35.69
250,13.8,35.73,,,,,,,,,,250,13.8,36.25,,,,250,10.8,35.73
251,13.56,35.63,,,,,,,,,,251,13.56,36.15,,,,251,10.56,35.63
252,13.74,35.72,,,,,,,,,,252,13.74,36.24,,,,252,10.74,35.72
254,13.61,35.67,,,,,,,,,,254,13.61,36.19,,,,254,10.61,35.67
256,13.67,35.7,,,,,,,,,,256,13.67,36.22,,,,256,10.67,35.7
258,13.44,35.64,,,,,,,,,,258,13.44,36.16,,,,258,10.44,35.64
260,13.44,35.65,,,,,,,,,,260,13.44,36.17,,,,260,10.44,35.65
262,13.43,35.62,,,,,,,,,,262,13.43,36.14,,,,262,10.43,35.62
264,13.55,35.68,,,,,,,,,,264,13.55,36.2,,,,264,10.55,35.68
266,13.43,35.62,,,,,,,,,,266,13.43,36.14,,,,266,10.43,35.62
268,13.41,35.65,,,,,,,,,,268,13.41,36.17,,,,268,10.41,35.65
270,13.39,35.65,,,,,,,,,,270,13.39,36.17,,,,270,10.39,35.65
272,13.35,35.64,,,,,,,,,,272,13.35,36.16,,,,272,10.35,35.64
274,13.34,35.64,,,,,,,,,,274,13.34,36.16,,,,274,10.34,35.64
276,13.31,35.64,,,,,,,,,,276,13.31,36.16,,,,276,10.31,35.64
278,13.27,35.64,,,,,,,,,,278,13.27,36.16,,,,278,10.27,35.64
280,13.21,35.63,,,,,,,,,,280,13.21,36.15,,,,280,10.21,35.63
282,13.26,35.64,,,,,,,,,,282,13.26,36.16,,,,282,10.26,35.64
284,13.23,35.64,,,,,,,,,,284,13.23,36.16,,,,284,10.23,35.64
286,13.22,35.63,,,,,,,,,,286,13.22,36.15,,,,286,10.22,35.63
288,13.03,35.6,,,,,,,,,,288,13.03,36.12,,,,288,10.03,35.6
290,13.19,35.64,,,,,,,,,,290,13.19,36.16,,,,290,10.19,35.64
292,13.16,35.63,,,,,,,,,,292,13.16,36.15,,,,292,10.16,35.63
294,13.09,35.62,,,,,,,,,,294,13.09,36.14,,,,294,10.09,35.62
296,12.91,35.58,,,,,,,,,,296,12.91,36.1,,,,296,9.91,35.58
